iter	Passed	Remaining
0	47	47176
1	47	23777
2	48	15967
3	48	12059
4	48	9722
5	49	8161
6	49	7045
7	50	6208
8	50	5557
9	50	5037
10	51	4611
11	51	4258
12	52	3958
13	52	3701
14	52	3479
15	53	3283
16	53	3111
17	54	2957
18	54	2819
19	55	2695
20	55	2583
21	55	2482
22	56	2389
23	56	2304
24	57	2225
25	57	2152
26	57	2085
27	58	2022
28	58	1964
29	59	1910
30	59	1859
31	59	1812
32	60	1767
33	60	1725
34	61	1685
35	61	1648
36	61	1613
37	62	1579
38	63	1561
39	63	1530
40	64	1501
41	64	1478
42	65	1451
43	65	1426
44	66	1401
45	66	1378
46	66	1356
47	67	1334
48	67	1313
49	68	1293
50	68	1274
51	68	1256
52	69	1239
53	69	1221
54	70	1205
55	70	1189
56	70	1174
57	71	1159
58	71	1145
59	72	1131
60	72	1118
61	73	1105
62	73	1093
63	73	1081
64	74	1069
65	74	1057
66	75	1046
67	75	1035
68	76	1035
69	77	1026
70	77	1016
71	78	1007
72	78	998
73	79	990
74	81	1004
75	81	994
76	82	985
77	82	976
78	82	967
79	83	958
80	83	950
81	84	941
82	84	931
83	84	924
84	85	916
85	85	909
86	85	901
87	86	894
88	86	887
89	87	880
90	87	873
91	87	866
92	88	860
93	88	853
94	88	847
95	89	841
96	89	835
97	90	829
98	90	823
99	90	817
100	91	812
101	91	806
102	92	801
103	92	796
104	92	791
105	93	786
106	93	781
107	94	776
108	94	772
109	94	767
110	95	762
111	95	758
112	96	753
113	96	749
114	96	745
115	97	740
116	97	735
117	97	731
118	98	727
119	98	723
120	98	719
121	99	714
122	99	710
123	100	706
124	100	703
125	100	699
126	101	695
127	101	691
128	102	688
129	102	685
130	102	681
131	103	678
132	103	675
133	103	671
134	104	668
135	104	665
136	105	662
137	105	659
138	105	655
139	106	652
140	106	649
141	106	646
142	107	643
143	107	640
144	108	637
145	108	634
146	108	631
147	109	628
148	109	626
149	110	623
150	110	620
151	110	618
152	111	615
153	111	612
154	111	610
155	112	607
156	112	605
157	113	602
158	113	600
159	113	598
160	114	594
161	114	592
162	114	590
163	115	587
164	115	585
165	116	583
166	116	580
167	116	578
168	117	576
169	117	574
170	117	571
171	118	569
172	118	567
173	119	565
174	119	563
175	119	561
176	120	559
177	120	557
178	121	555
179	121	553
180	121	551
181	122	549
182	122	547
183	123	545
184	123	543
185	123	541
186	124	539
187	124	537
188	124	536
189	125	534
190	125	532
191	126	530
192	126	528
193	126	527
194	127	525
195	127	523
196	128	521
197	128	520
198	128	518
199	129	516
200	129	515
201	129	513
202	130	511
203	130	510
204	131	508
205	131	506
206	131	505
207	132	503
208	132	502
209	133	500
210	133	499
211	133	497
212	134	496
213	134	494
214	135	493
215	135	491
216	135	490
217	136	488
218	136	487
219	137	486
220	137	484
221	137	483
222	138	482
223	138	480
224	139	479
225	139	478
226	139	476
227	140	475
228	140	474
229	141	472
230	141	471
231	142	470
232	142	469
233	142	467
234	143	466
235	143	465
236	144	463
237	144	462
238	144	461
239	145	460
240	145	458
241	146	457
242	146	456
243	146	455
244	147	454
245	147	452
246	148	451
247	148	450
248	148	449
249	149	448
250	149	446
251	150	445
252	150	444
253	150	443
254	151	442
255	151	441
256	152	440
257	152	439
258	153	437
259	153	436
260	153	435
261	154	434
262	154	433
263	155	432
264	155	431
265	155	430
266	156	429
267	157	429
268	157	428
269	158	428
270	158	427
271	159	426
272	159	424
273	159	423
274	160	422
275	160	421
276	161	420
277	161	419
278	162	418
279	162	417
280	162	416
281	163	415
282	163	414
283	164	413
284	164	412
285	164	411
286	165	410
287	165	409
288	166	408
289	166	407
290	166	406
291	167	405
292	167	404
293	168	403
294	168	402
295	168	401
296	169	400
297	169	399
298	170	398
299	170	397
300	170	397
301	171	396
302	171	395
303	172	394
